number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
23,0.6588357136400883,2026-09-02 16:22:34.596419,2026-09-02 16:22:35.592784,0 days 00:00:00.996365,0.7051984933566552,0.07089678993442632,2,5,321,0.20598057259131203,0.10288794335939705,2.2919273785923386,0.6395497823539846,COMPLETE
24,0.6645684329246746,2026-09-02 16:22:35.592824,2026-09-02 16:22:36.588433,0 days 00:00:00.995609,0.7971797491546088,0.01815329173798323,3,6,365,0.4968300060344751,0.1281597389339006,1.878922068365007,0.564090587779067,COMPLETE
25,0.6641816046023773,2026-09-02 16:22:36.588473,2026-09-02 16:22:37.406054,0 days 00:00:00.817581,0.8122001264544138,0.021603211568822146,3,7,278,0.34795346110996694,0.15930741807790616,1.0097299386480834,0.547217377755457,COMPLETE
26,0.6601054949527075,2026-09-02 16:22:37.406088,2026-09-02 16:22:38.211644,0 days 00:00:00.805556,0.8052304749846828,0.043667603120091526,3,7,277,0.645035183424548,0.020957458813802347,1.3748928268127594,0.542124086333435,COMPLETE
27,0.6509431446562232,2026-09-02 16:22:38.211680,2026-09-02 16:22:38.857675,0 days 00:00:00.645995,0.8716796856118123,0.008642058972914101,4,7,311,3.0415335664121854,0.15894003146505797,1.0233661195519044,0.5425650555632773,PRUNED
28,0.6509314657028132,2026-09-02 16:22:38.857701,2026-09-02 16:22:39.214143,0 days 00:00:00.356442,0.9374406426723653,0.11478567626636386,3,8,155,0.49344083130420274,0.04581735901139867,1.2710685636227994,0.5912620292702656,PRUNED
29,0.6509077940090232,2026-09-02 16:22:39.214167,2026-09-02 16:22:39.910644,0 days 00:00:00.696477,0.7824214311428201,0.024772269724083223,4,6,368,2.4904769193356233,0.008275060393064037,3.069411569113425,0.5404474615316125,PRUNED
30,0.660050169569032,2026-09-02 16:22:39.910669,2026-09-02 16:22:40.718459,0 days 00:00:00.807790,0.8442508401830645,0.044439421145720005,3,8,281,0.23492845641748103,0.03074690268175315,1.518453586011084,0.6266447300035266,COMPLETE
31,0.6601401520345429,2026-09-02 16:22:40.718496,2026-09-02 16:22:41.541945,0 days 00:00:00.823449,0.7995635731735848,0.042292364256858374,3,7,270,0.5393042595178562,0.09921931177350278,1.3336433271878503,0.5457821399498326,COMPLETE
32,0.6626152802786069,2026-09-02 16:22:41.541980,2026-09-02 16:22:42.309788,0 days 00:00:00.767808,0.8002909474624988,0.01926798774004206,3,6,244,0.6801424611750159,0.09620361298114569,1.0096682495705946,0.5681418784136422,COMPLETE
33,0.6614704047285924,2026-09-02 16:22:42.309827,2026-09-02 16:22:43.190882,0 days 00:00:00.881055,0.7379883834924266,0.02171124317520387,4,6,244,0.9474360467517781,0.153176641416924,1.005404719971668,0.5796086512494457,COMPLETE
34,0.662414759738196,2026-09-02 16:22:43.190917,2026-09-02 16:22:44.024373,0 days 00:00:00.833456,0.7374821279913888,0.014923716559195832,4,5,214,3.193114152268998,0.07973347435138906,1.704731191276085,0.5151126466555416,COMPLETE
35,0.6496190740289299,2026-09-02 16:22:44.024409,2026-09-02 16:22:44.355152,0 days 00:00:00.330743,0.8494877170383284,0.029384414459667295,3,6,122,1.8668796617633294,0.1884604599653763,1.2213084793171818,0.6063054211780142,PRUNED
36,0.6475610154244034,2026-09-02 16:22:44.355178,2026-09-02 16:22:44.914198,0 days 00:00:00.559020,0.9251313643434012,0.009610292814070295,3,9,313,0.3327448350906497,0.028789868176715718,4.148557883356651,0.5619838131802857,PRUNED
37,0.6624121804302958,2026-09-02 16:22:44.914222,2026-09-02 16:22:45.770371,0 days 00:00:00.856149,0.7487603922030076,0.015109874150650099,4,5,221,0.002668426846875736,0.009644353610320957,1.6143962514819077,0.6603721293646065,COMPLETE
38,0.6319376745418495,2026-09-02 16:22:45.770411,2026-09-02 16:22:46.119487,0 days 00:00:00.349076,0.7967645902839795,0.032200167210461685,5,7,190,4.865936746019593,0.06525851116481471,1.8699479280873186,0.5212015197443293,PRUNED
39,0.6248232634128512,2026-09-02 16:22:46.119510,2026-09-02 16:22:46.405608,0 days 00:00:00.286098,0.8711640681706166,0.007422134117087058,2,6,259,0.19597824299075425,2.073992024249303,3.2060927808563324,0.5709302112430177,PRUNED
