feature,importance
text_svd_18,0.21568634209147106
text_svd_16,0.21566242535274316
text_svd_59,0.21369969483632714
text_svd_95,0.21211509667007483
text_svd_60,0.2095249497169042
text_svd_54,0.20840997720430365
sentiment_magnitude,0.20642571599798004
img_emb_pca_25,0.2052898825326128
img_emb_pca_40,0.20437655906413738
text_svd_52,0.1985069276222343
text_svd_86,0.1948800590463274
text_svd_1,0.19478231767629597
text_svd_92,0.19421682843892787
text_svd_45,0.1911288041857665
text_svd_2,0.19045308621082283
text_svd_83,0.1894823262753118
text_svd_55,0.1878502952218223
text_svd_63,0.17898522615700202
image_brightness_mean,0.17766670968837758
text_svd_35,0.1706332245564908
text_svd_69,0.1705926494772943
image_aspect_ratio_max,0.16922229576445363
text_svd_89,0.1669284055601723
sentiment_score,0.1646348130385234
text_svd_42,0.16439214287882928
text_svd_68,0.1630987442459117
img_emb_pca_10,0.16040586362107553
img_emb_pca_29,0.1602197107503504
Health,0.15901383043040335
text_svd_78,0.15719954875948858
img_emb_pca_21,0.15434945704323408
text_svd_76,0.153781927664689
image_edge_variance_mean,0.15286405099955938
img_emb_pca_36,0.14923120264555378
text_svd_6,0.1492032258126074
text_svd_24,0.14568301931453428
text_svd_36,0.145064335384348
img_emb_pca_42,0.1414650909686126
img_emb_pca_26,0.14051202348328343
image_colorfulness_max,0.13635085373917102
text_svd_8,0.13539280306186574
text_svd_15,0.13431403435976075
text_svd_37,0.1328195533976103
img_emb_pca_1,0.13138231071775558
img_emb_pca_43,0.13136904124973903
text_svd_99,0.12818590704567862
text_svd_84,0.1279447042721298
text_svd_98,0.12497942492940323
image_edge_variance_max,0.12495295468102027
sentiment_entity_count,0.12405282581040823
text_svd_81,0.12325105969682286
Color2,0.121956888304316
img_emb_pca_18,0.11894235342088934
text_svd_80,0.11626483736518642
text_svd_10,0.11040914167178112
text_svd_4,0.10811344448644818
img_emb_pca_48,0.10384805709859111
vision_colors_per_image_mean,0.1016177576292124
image_colorfulness_mean,0.09828658974566522
text_svd_62,0.0924551676577025
text_svd_28,0.091436839100212
img_emb_pca_31,0.09112088426915317
image_contrast_mean,0.0892438248064333
text_svd_34,0.08741456119003752
img_emb_pca_11,0.07281907084311172
text_svd_85,0.07167139550941828
img_emb_pca_44,0.062319851660903716
img_emb_pca_24,0.06166337068892462
text_svd_67,0.05378575570155713
Color3,0.053657116439787336
text_svd_29,0.042414126638094025
image_aspect_ratio_sd,0.029966180028282653
img_emb_pca_35,0.01937202553451247
VideoAmt,0.010523546127242682
img_emb_pca_22,0.0
name_char_count,0.0
description_available,0.0
name_available,0.0
text_svd_19,0.0
img_emb_pca_34,0.0
sentiment_available,0.0
img_emb_pca_45,0.0
metadata_available,0.0
sentiment_token_count,0.0
vision_crop_hints_per_image_mean,0.0
image_pixels_available,0.0
img_embedding_available,0.0
